date,price,bedrooms,sqft_living,sqft_lot,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,bathroomsx4,floorsx2
164,221900.0,3,1180,5650,0,0,3,7,1180,0,1955,1955,98178,47.5112,-122.257,1340,5650,4,2
221,538000.0,3,2570,7242,0,0,3,7,2170,400,1951,1991,98125,47.721000000000004,-122.319,1690,7639,9,4
299,180000.0,2,770,10000,0,0,3,6,770,0,1933,1933,98028,47.7379,-122.23299999999999,2720,8062,4,2
221,604000.0,4,1960,5000,0,0,5,7,1050,910,1965,1965,98136,47.5208,-122.39299999999999,1360,5000,12,2
292,510000.0,3,1680,8080,0,0,3,8,1680,0,1987,1987,98074,47.6168,-122.045,1800,7503,8,2
56,257500.0,3,1715,6819,0,0,3,7,1715,0,1995,1995,98003,47.3097,-122.32700000000001,2238,6819,9,4
258,291850.0,3,1060,9711,0,0,3,7,1060,0,1963,1963,98198,47.4095,-122.315,1650,9711,6,2
348,229500.0,3,1780,7470,0,0,3,7,1050,730,1960,1960,98146,47.5123,-122.337,1780,8113,4,2
314,323000.0,3,1890,6560,0,0,3,7,1890,0,2003,2003,98038,47.3684,-122.031,2390,7570,10,4
336,662500.0,3,3560,9796,0,0,3,8,1860,1700,1965,1965,98007,47.6007,-122.145,2210,8925,10,2
25,468000.0,2,1160,6000,0,0,4,7,860,300,1942,1942,98115,47.69,-122.292,1330,6000,4,2
26,310000.0,3,1430,19901,0,0,4,7,1430,0,1927,1927,98028,47.7558,-122.229,1780,12697,4,3
158,400000.0,3,1370,9680,0,0,4,7,1370,0,1977,1977,98074,47.6127,-122.045,1370,10208,7,2
314,530000.0,5,1810,4850,0,0,3,7,1810,0,1900,1900,98107,47.67,-122.39399999999999,1360,4850,8,3
267,650000.0,4,2950,5000,0,3,3,9,1980,970,1979,1979,98126,47.5714,-122.375,2140,4000,12,4
90,395000.0,3,1890,14040,0,0,3,7,1890,0,1994,1994,98019,47.7277,-121.962,1890,14018,8,4
27,485000.0,4,1600,4300,0,0,4,7,1600,0,1916,1916,98103,47.6648,-122.34299999999999,1610,4300,4,3
217,189000.0,2,1200,9850,0,0,4,7,1200,0,1921,1921,98002,47.3089,-122.21,1060,5095,4,2
357,230000.0,3,1250,9774,0,0,4,7,1250,0,1969,1969,98003,47.3343,-122.306,1280,8850,4,2
12,385000.0,4,1620,4980,0,0,4,7,860,760,1947,1947,98133,47.7025,-122.34100000000001,1400,4980,7,2
116,2000000.0,3,3050,44867,0,4,3,9,2330,720,1968,1968,98040,47.5316,-122.23299999999999,4110,20336,11,2
62,285000.0,5,2270,6300,0,0,3,8,2270,0,1995,1995,98092,47.3266,-122.169,2240,7005,10,4
14,252700.0,2,1070,9643,0,0,3,7,1070,0,1985,1985,98030,47.3533,-122.166,1220,8386,6,2
202,329000.0,3,2450,6500,0,0,4,8,2450,0,1985,1985,98030,47.3739,-122.17200000000001,2200,6865,9,4
185,233000.0,3,1710,4697,0,0,5,6,1710,0,1941,1941,98002,47.3048,-122.21799999999999,1030,4705,8,3
55,937000.0,3,2450,2691,0,0,3,8,1750,700,1915,1915,98119,47.6386,-122.36,1760,3573,7,4
213,667000.0,3,1400,1581,0,0,5,8,1400,0,1909,1909,98112,47.6221,-122.314,1860,3861,4,3
53,438000.0,3,1520,6380,0,0,3,7,790,730,1948,1948,98115,47.695,-122.304,1520,6235,7,2
304,719000.0,4,2570,7173,0,0,3,8,2570,0,2005,2005,98052,47.7073,-122.11,2630,6026,10,4
192,580500.0,3,2320,3980,0,0,3,8,2320,0,2003,2003,98027,47.5391,-122.07,2580,3980,10,4
213,280000.0,2,1190,1265,0,0,3,7,1190,0,2005,2005,98133,47.7274,-122.35700000000001,1390,1756,6,6
53,687500.0,4,2330,5000,0,0,4,7,1510,820,1929,1929,98117,47.6823,-122.368,1460,5000,7,3
192,535000.0,3,1090,3000,0,0,4,8,1090,0,1929,1929,98117,47.6889,-122.375,1570,5080,4,3
215,322500.0,4,2060,6659,0,0,3,7,1280,780,1981,1981,98058,47.4276,-122.15700000000001,2020,8720,11,2
42,696000.0,3,2300,3060,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,10,3
