sitetype,lat,lon,zip,plus4
Abandoned,47.65776179,-121.90931228,98014,6321
Abandoned,47.52317816,-121.92734053,98027,
Abandoned,47.52962051,-122.16421235,98059,3214
Abandoned,47.45815522,-122.33727416,98166,3019
Abandoned,47.19222997,-121.99352476,98022,9470
Abandoned,47.19982887,-122.01152789,98022,7480
Abandoned,47.52207777,-122.28038822,98118,5031
Abandoned,47.54388076,-121.93619405,98050,5019
Abandoned,47.57369551,-122.29875485,98144,6525
Abandoned,47.68198365,-122.11180908,98052,3728
Abandoned,47.63807886,-122.34518237,98109,2403
Abandoned,47.2207183,-122.00602805,98022,
Abandoned,47.5735415,-121.92981543,98024,7808
Abandoned,47.25621782,-122.07760887,98092,
Abandoned,47.42648304,-122.16215058,98058,7747
Abandoned,47.49198085,-122.27167251,98178,3457
Abandoned,47.45663355,-122.19593563,98055,5203
Abandoned,47.35450363,-122.23416915,98032,7346
Access_Point,47.60967742,-122.19873095,98004,
Access_Point,47.53449973,-121.85966205,98065,9745
Access_Point,47.67601282,-122.3158422,98115,6734
Access_Point,47.67643001,-122.31583688,98115,6734
Access_Point,47.60524314,-122.19225658,98004,6303
Access_Point,47.53935326,-122.16978254,98056,1322
Access_Point,47.2068018,-121.98426433,98022,
Access_Point,47.55480449,-121.83178159,98065,
Access_Point,47.37522591,-122.23882409,98032,5829
Airport,47.55891528,-121.86584001,98024,9704
Airport,47.62856149,-122.33979209,98109,3523
Airport,47.45835081,-122.47748368,98070,
Airport,47.19633977,-122.01689879,98022,9482
Airport,47.71139427,-121.33934843,98288,4928
Airport,47.75711194,-122.25788979,98028,4898
Airport,47.49195906,-122.21736558,98057,5327
Airport,47.33203094,-122.22442616,98002,1623
Airport,47.33273304,-122.2245004,98002,1623
Airport,47.34041555,-122.1033358,98042,5701
Campground,47.69600837,-122.05143849,98053,
Campground,47.29192349,-121.96387788,98022,
Campground,47.30038279,-121.94866697,98022,8730
Campground,47.3015383,-121.94762519,98022,8765
Campground,47.30210054,-121.94715618,98022,8765
Campground,47.30294316,-121.94971571,98022,8799
Campground,47.56650174,-121.8757817,98024,5728
Campground,47.4119671,-122.26236546,98032,1326
Campground,47.40258071,-121.56739035,98045,
Campground,47.50712551,-122.08651372,98027,8645
Commercial_Farm,47.5469278,-122.28634724,98118,3141
Commercial_Farm,47.48531829,-122.23889518,98178,5024
Commercial_Farm,47.4916729,-122.34148696,98146,2874
Commercial_Farm,47.6017754,-122.20105148,98004,6631
Commercial_Farm,47.6934655,-121.97642994,98014,9514
Commercial_Farm,47.35585859,-122.13092953,98042,4318
Commercial_Farm,47.60399302,-122.16374717,98005,
Commercial_Farm,47.52816314,-121.76143014,98065,9416
Commercial_Farm,47.7291897,-122.13987875,98052,2008
Commercial_Farm,47.1844806,-122.04155296,98022,9503
Commercial_Farm,47.59860288,-122.31321356,98144,2195
Commercial_Farm,47.61072924,-121.93359429,98014,
Commercial_Farm,47.43138374,-122.32214308,98148,2208
Commercial_Farm,47.43849536,-122.45174452,98070,5311
Commercial_Farm,47.43826197,-122.45149794,98070,5311
Commercial_Farm,47.69683836,-122.08924176,98052,2927
Commercial_Farm,47.43078372,-122.22744895,98032,1207
Commercial_Farm,47.71179443,-122.08856043,98052,2205
Commercial_Farm,47.62004695,-121.96040852,98053,9236
Commercial_Farm,47.70581211,-122.19674228,98034,3926
Commercial_Farm,47.5330208,-122.05890485,98027,8660
Commercial_Farm,47.18504325,-122.04412832,98022,9532
Commercial_Farm,47.19785112,-122.03859368,98022,7457
Commercial_Farm,47.71280291,-122.15223991,98052,2034
Commercial_Farm,47.27990839,-122.15514388,98092,7339
Commercial_Farm,47.19457117,-122.03531034,98022,
Commercial_Farm,47.1947877,-122.03655548,98022,9439
Commercial_Farm,47.70172526,-122.00023987,98014,9400
Commercial_Farm,47.71439485,-122.12812417,98052,2058
Commercial_Farm,47.71164704,-122.13461563,98052,2124
Commercial_Farm,47.54364389,-122.11008105,98027,
Commercial_Farm,47.28406162,-122.24971828,98001,
Commercial_Farm,47.63240665,-122.22971404,98039,2399
Commercial_Farm,47.20681819,-121.97677816,98022,9219
Commercial_Farm,47.71982979,-122.00864304,98019,9008
Commercial_Farm,47.72237071,-122.13604517,98052,2016
Commercial_Farm,47.38644498,-122.26889802,98032,4720
Commercial_Farm,47.37600763,-122.26451978,98032,4708
Commercial_Farm,47.3859275,-122.26839331,98032,5028
Commercial_Farm,47.20163683,-122.01526495,98022,9441
Commercial_Farm,47.63967911,-121.9024755,98014,6104
Commercial_Farm,47.28979026,-122.17138675,98092,8512
Commercial_Farm,47.21204967,-122.03777401,98022,9062
Commercial_Farm,47.46667349,-122.45418718,98070,3943
Commercial_Farm,47.39495071,-122.22743133,98032,2013
Commercial_Farm,47.73602836,-122.07264897,98077,7698
Commercial_Farm,47.65372622,-122.06930755,98053,6136
Commercial_Farm,47.30941256,-122.16884802,98092,9206
Commercial_Farm,47.74510061,-122.15090723,98072,6984
Commercial_Farm,47.7470864,-122.15004599,98072,9050
Commercial_Farm,47.56113032,-121.90103669,98024,5704
Commercial_Farm,47.31201262,-122.01983644,98010,9204
Commercial_Farm,47.22130104,-122.02453676,98022,8621
Commercial_Farm,47.39692239,-122.00224235,98038,5176
Commercial_Farm,47.21685199,-122.0051898,98022,8668
Commercial_Farm,47.48636722,-122.11115165,98059,8650
Commercial_Farm,47.2419611,-122.00844961,98022,6844
Commercial_Farm,47.75016749,-122.15709552,98072,7083
Commercial_Farm,47.66502694,-122.39896818,98199,1113
Commercial_Farm,47.58326189,-121.89628361,98024,5900
Commercial_Farm,47.2344239,-122.02071275,98022,8612
Commercial_Farm,47.24179413,-122.02766093,98022,8607
Commercial_Farm,47.23753647,-121.92968967,98022,8103
