price,bedrooms,sqft_lot,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,bathroomsx4,floorsx2
221900.0,3,5650,0,0,3,7,1180,0,1955,98178,4,2
538000.0,3,7242,0,0,3,7,2170,400,1951,98125,9,4
180000.0,2,10000,0,0,3,6,770,0,1933,98028,4,2
604000.0,4,5000,0,0,5,7,1050,910,1965,98136,12,2
510000.0,3,8080,0,0,3,8,1680,0,1987,98074,8,2
257500.0,3,6819,0,0,3,7,1715,0,1995,98003,9,4
291850.0,3,9711,0,0,3,7,1060,0,1963,98198,6,2
229500.0,3,7470,0,0,3,7,1050,730,1960,98146,4,2
323000.0,3,6560,0,0,3,7,1890,0,2003,98038,10,4
468000.0,2,6000,0,0,4,7,860,300,1942,98115,4,2
310000.0,3,19901,0,0,4,7,1430,0,1927,98028,4,3
400000.0,3,9680,0,0,4,7,1370,0,1977,98074,7,2
530000.0,5,4850,0,0,3,7,1810,0,1900,98107,8,3
650000.0,4,5000,0,3,3,9,1980,970,1979,98126,12,4
395000.0,3,14040,0,0,3,7,1890,0,1994,98019,8,4
485000.0,4,4300,0,0,4,7,1600,0,1916,98103,4,3
189000.0,2,9850,0,0,4,7,1200,0,1921,98002,4,2
230000.0,3,9774,0,0,4,7,1250,0,1969,98003,4,2
385000.0,4,4980,0,0,4,7,860,760,1947,98133,7,2
285000.0,5,6300,0,0,3,8,2270,0,1995,98092,10,4
252700.0,2,9643,0,0,3,7,1070,0,1985,98030,6,2
329000.0,3,6500,0,0,4,8,2450,0,1985,98030,9,4
233000.0,3,4697,0,0,5,6,1710,0,1941,98002,8,3
937000.0,3,2691,0,0,3,8,1750,700,1915,98119,7,4
667000.0,3,1581,0,0,5,8,1400,0,1909,98112,4,3
438000.0,3,6380,0,0,3,7,790,730,1948,98115,7,2
719000.0,4,7173,0,0,3,8,2570,0,2005,98052,10,4
580500.0,3,3980,0,0,3,8,2320,0,2003,98027,10,4
280000.0,2,1265,0,0,3,7,1190,0,2005,98133,6,6
687500.0,4,5000,0,0,4,7,1510,820,1929,98117,7,3
535000.0,3,3000,0,0,4,8,1090,0,1929,98117,4,3
322500.0,4,6659,0,0,3,7,1280,780,1981,98058,11,2
696000.0,3,3060,0,0,3,8,1510,790,1930,98115,10,3
550000.0,4,34848,0,0,1,5,930,730,1933,98052,4,2
640000.0,4,6000,0,0,4,8,2360,0,1904,98107,8,4
240000.0,4,8075,0,0,2,7,890,330,1969,98001,4,2
605000.0,4,7553,0,0,3,8,2620,0,1996,98056,10,4
625000.0,4,5520,0,0,3,9,2570,0,2000,98074,10,4
685000.0,3,2280,0,0,3,7,1570,0,1922,98119,4,4
309000.0,3,9656,0,0,4,6,920,360,1959,98058,4,2
488000.0,3,13603,0,0,3,8,3160,0,2003,98019,10,4
210490.0,3,8528,0,0,3,6,990,0,1966,98023,4,2
785000.0,4,13416,0,0,4,9,2290,0,1981,98007,10,4
450000.0,3,5963,0,0,4,7,1250,0,1953,98115,7,2
228000.0,3,9199,0,0,3,7,1190,0,1955,98148,4,2
345000.0,5,9134,0,0,4,8,1640,1510,1966,98056,10,2
600000.0,3,4080,0,0,4,7,1000,410,1950,98117,7,2
585000.0,2,8550,0,0,3,7,990,990,1981,98117,7,2
920000.0,5,6000,0,0,3,8,2130,600,1927,98105,9,3
885000.0,4,5000,0,0,3,9,2830,0,1995,98105,10,4
292500.0,4,4495,0,0,3,7,2250,0,2008,98042,10,4
301000.0,3,4750,0,0,3,8,2420,0,2003,98042,10,4
951000.0,5,14342,0,4,4,8,3250,0,1968,98008,13,4
430000.0,4,9976,0,0,3,8,1850,0,1991,98059,12,4
650000.0,3,21235,0,3,4,8,1590,560,1959,98166,9,2
289000.0,3,8400,0,0,3,7,1260,0,1954,98148,7,2
505000.0,3,8690,0,0,5,8,2519,0,1973,98166,7,4
549000.0,3,1044,0,0,3,8,1540,0,2014,98115,7,6
425000.0,3,6000,0,0,3,7,1110,550,1979,98122,9,2
317625.0,3,3809,0,0,5,7,1770,1000,1925,98144,11,3
975000.0,4,11049,0,0,3,10,2720,0,1989,98004,10,4
287000.0,4,4648,0,0,3,7,2240,0,2005,98001,10,4
204000.0,3,12070,0,0,4,7,1000,0,1968,98042,4,2
325000.0,3,5612,0,0,4,7,1260,0,1972,98034,8,2
571000.0,4,7807,0,0,5,7,2250,500,1916,98125,8,3
360000.0,4,5000,0,0,3,8,2380,0,2005,98038,10,4
349000.0,3,50529,0,0,5,7,1090,700,1965,98042,7,2
832500.0,4,35102,0,0,4,10,2390,1040,1986,98075,16,4
380000.0,4,7300,0,0,3,7,880,880,1956,98008,7,2
480000.0,3,5060,0,0,3,7,1040,0,1941,98116,4,2
410000.0,3,5060,0,0,4,7,910,500,1956,98133,4,2
720000.0,4,39683,0,0,3,10,3450,0,2002,98010,10,4
390000.0,3,5100,0,0,3,8,2350,0,2003,98038,10,4
360000.0,4,5889,0,0,3,7,1900,0,1992,98038,10,4
355000.0,2,6720,0,0,3,7,1010,1010,1948,98118,4,2
356000.0,3,8712,0,0,3,8,1680,0,1964,98059,6,2
315000.0,3,6634,0,0,3,6,960,0,1952,98125,4,2
940000.0,3,3600,0,0,3,9,1900,240,1925,98119,6,4
305000.0,5,8400,0,0,5,7,2660,0,1961,98092,9,3
461000.0,3,6278,0,0,3,9,1980,790,2006,98056,13,4
215000.0,2,2040,0,0,4,7,1610,0,1979,98056,9,4
335000.0,2,1066,0,0,3,7,765,265,2006,98136,7,4
243500.0,4,7403,0,0,3,7,1980,0,1988,98023,10,4
1100000.0,5,6353,0,0,4,10,3520,0,2001,98199,11,4
153000.0,3,10500,0,0,3,7,1200,0,1962,98023,4,2
430000.0,3,5000,0,0,3,8,1290,290,1939,98117,6,2
700000.0,3,5000,0,0,3,8,1290,290,1939,98117,6,2
905000.0,4,10250,0,0,3,7,2390,910,1946,98040,10,2
247500.0,3,15681,0,0,3,7,1960,0,1967,98032,7,2
199000.0,4,6400,0,0,4,7,1160,0,1975,98023,6,2
314000.0,3,41800,0,0,5,7,1210,600,1980,98038,7,2
437500.0,3,36847,0,2,3,9,2320,0,1992,98045,10,4
850830.0,3,13241,0,0,5,9,1270,800,1910,98102,10,3
555000.0,3,3478,0,0,4,7,1440,540,1929,98117,8,3
1090000.0,3,8113,0,0,3,8,2920,0,1950,98004,10,4
290000.0,3,33919,0,0,3,7,1210,0,1954,98058,4,2
375000.0,3,10005,0,0,4,8,1460,880,1978,98058,10,2
460000.0,3,4005,0,0,4,7,1170,500,1939,98117,4,3
188500.0,2,2493,0,0,4,8,1240,0,1985,98198,7,2
680000.0,4,28037,0,0,4,10,3140,0,1991,98077,10,4
470000.0,5,12342,0,0,4,7,2030,0,1942,98052,7,4
597750.0,4,9624,0,0,3,8,2310,0,1984,98027,10,4
570000.0,3,3328,0,0,5,6,700,560,1905,98103,7,2
272500.0,3,12600,0,0,4,7,1160,0,1980,98038,7,2
329950.0,3,5969,0,2,3,7,1080,1000,1971,98108,7,2
480000.0,4,16171,0,0,3,9,2520,710,2001,98001,10,4
518500.0,3,1102,0,0,3,8,1590,0,2010,98103,14,6
205425.0,2,6780,0,0,4,6,880,0,1945,98178,4,2
171800.0,4,9600,0,0,3,6,1570,0,1950,98168,8,2
535000.0,4,2982,0,0,4,7,1610,0,1925,98144,4,3
660000.0,3,6474,0,2,3,8,1560,840,1964,98177,10,2
391500.0,3,9132,0,0,3,7,1450,0,1987,98034,8,2
395000.0,2,6000,0,0,3,6,770,0,1953,98117,4,2
445000.0,4,4400,0,0,5,7,1720,380,1924,98118,7,3
770000.0,3,10204,0,0,3,9,2910,0,1990,98052,9,4
445000.0,3,8201,0,2,3,8,1620,480,1967,98178,9,2
260000.0,4,8811,0,0,3,8,1360,800,1978,98023,9,2
822500.0,5,4960,0,0,5,7,1720,600,1926,98103,14,4
430000.0,4,4310,0,0,3,7,2070,0,2004,98065,10,4
212000.0,3,7875,0,0,4,7,1060,0,1986,98092,7,2
660500.0,4,9603,0,0,3,8,1440,570,1986,98027,9,2
453246.0,3,2287,0,0,3,8,1390,620,2014,98029,10,4
675000.0,4,2278,0,0,3,9,2140,0,2005,98107,14,6
199000.0,3,17390,0,0,4,7,1320,0,1956,98003,7,2
220000.0,4,7840,0,0,3,7,1010,1010,1968,98003,7,2
452000.0,4,10002,0,0,4,8,1340,1250,1968,98028,9,2
382500.0,2,4440,0,0,3,6,1190,0,1981,98125,4,2
519950.0,3,1249,0,0,3,8,1170,0,2014,98107,9,6
665000.0,2,3200,0,0,3,7,1110,0,1925,98119,4,2
527700.0,5,9375,0,0,4,8,1550,1270,1968,98006,10,2
205000.0,3,8579,0,0,4,7,1010,600,1962,98058,4,2
420000.0,3,8097,0,0,4,7,940,120,1923,98133,4,2
500000.0,4,8517,0,0,4,8,1380,650,1961,98006,9,2
890000.0,4,4000,0,0,3,8,2370,180,1905,98109,4,4
430000.0,2,60984,0,0,3,7,2420,0,2007,98027,10,4
258000.0,5,12500,0,0,4,8,1130,1130,1960,98032,8,2
511000.0,3,3455,0,0,3,7,980,450,1947,98103,4,2
532170.0,3,3090,0,0,3,8,1360,0,1990,98103,8,4
560000.0,3,5000,0,0,3,7,1110,0,1947,98107,4,3
282950.0,3,8200,0,0,4,7,1250,0,1954,98003,4,2
215000.0,3,7669,0,0,4,7,1180,0,1967,98058,4,2
